type,name,lat,lng,osm_id
school_primary,Tiểu học Nam Từ Liêm,21.0100,105.7550,
school_primary,Tiểu học Cầu Diễn,21.0090,105.7480,
school_primary,Tiểu học Dịch Vọng,21.0310,105.7890,
school_primary,Tiểu học Nghĩa Tân,21.0360,105.7920,
school_primary,Tiểu học Trung Văn,20.9990,105.7700,
park,Công viên Nam Từ Liêm,21.0050,105.7600,
park,Công viên Cầu Giấy,21.0330,105.7950,
park,Công viên Hòa Bình,21.0400,105.7900,
park,Công viên Thủ Lệ,21.0330,105.8100,
supermarket,Vinmart Nam Từ Liêm,21.0080,105.7500,
supermarket,Big C Thăng Long,21.0100,105.7810,
supermarket,WinMart Cầu Giấy,21.0300,105.7870,
supermarket,AEON Mall Hà Đông,20.9700,105.7900,
hospital,Bệnh viện 198,21.0250,105.7900,
hospital,Bệnh viện E,21.0280,105.7940,
hospital,Bệnh viện Nam Thăng Long,21.0150,105.7600,
