unit_id,project_id,block,floor,total_floors,area_sqm,bedrooms,bathrooms,balcony_dir,n_open_sides,view_type,furnishing,price_vnd,status
VSC-0801,vinhomes-smart-city,,8,35,68,2,2,SE,2,park,basic,2850000000,available
VSC-1203,vinhomes-smart-city,,12,35,70,2,2,S,2,internal,basic,3020000000,available
VSC-1805,vinhomes-smart-city,,18,35,72,2,2,SE,3,internal,basic,3180000000,available
VSC-2201,vinhomes-smart-city,,22,35,70,2,2,N,1,internal,basic,2980000000,available
VSC-0602,vinhomes-smart-city,,6,35,48,1,1,S,1,internal,bare,1780000000,available
VSC-2705,vinhomes-smart-city,,27,35,95,3,2,SE,3,internal,full,4150000000,available
VSC-1002W,vinhomes-smart-city,,10,35,69,2,2,W,1,internal,basic,2700000000,available
VSC-3001,vinhomes-smart-city,,30,35,74,2,2,SE,2,city,basic,3350000000,available
TZ-0503,the-zei,,5,28,65,2,2,S,2,internal,basic,2650000000,available
TZ-1104,the-zei,,11,28,67,2,2,SE,2,park,basic,2880000000,available
TZ-1607,the-zei,,16,28,68,2,2,E,2,park,basic,3050000000,available
TZ-0902,the-zei,,9,28,45,1,1,N,1,internal,bare,1650000000,available
TZ-2003,the-zei,,20,28,92,3,2,SE,3,city,full,4050000000,available
TZ-0701W,the-zei,,7,28,66,2,2,W,1,internal,basic,2600000000,available
TZ-2205,the-zei,,22,28,70,2,2,S,2,internal,basic,3220000000,available
RP-0402,roman-plaza,,4,30,64,2,2,SE,2,park,basic,2550000000,available
RP-1005,roman-plaza,,10,30,66,2,2,S,2,internal,basic,2720000000,available
RP-1608,roman-plaza,,16,30,68,2,2,SE,3,internal,basic,2950000000,available
RP-2103,roman-plaza,,21,30,46,1,1,N,1,internal,bare,1720000000,available
RP-0803,roman-plaza,,8,30,65,2,2,E,2,internal,basic,2680000000,available
RP-2504,roman-plaza,,25,30,90,3,2,SE,3,park,full,3850000000,available
RP-1201,roman-plaza,,12,30,67,2,2,N,1,internal,basic,2790000000,available
DC-0601,discovery-complex,,6,32,72,2,2,SE,2,city,basic,3280000000,available
DC-1404,discovery-complex,,14,32,74,2,2,S,2,city,basic,3420000000,available
DC-2002,discovery-complex,,20,32,98,3,2,SE,3,city,full,4650000000,available
DC-0903,discovery-complex,,9,32,71,2,2,E,2,internal,basic,3150000000,available
DC-1607W,discovery-complex,,16,32,73,2,2,W,1,internal,basic,3050000000,available
DC-0501,discovery-complex,,5,32,50,1,1,N,1,internal,bare,2050000000,available
IPH-0802,indochina-plaza-hanoi,,8,27,76,2,2,SE,2,river,basic,3400000000,available
IPH-1305,indochina-plaza-hanoi,,13,27,78,2,2,S,2,city,basic,3550000000,available
IPH-1901,indochina-plaza-hanoi,,19,27,100,3,2,SE,3,city,full,4850000000,available
IPH-0604,indochina-plaza-hanoi,,6,27,75,2,2,N,1,internal,basic,3300000000,available
IPH-2203,indochina-plaza-hanoi,,22,27,52,1,1,S,1,city,bare,2280000000,available
IPH-1002,indochina-plaza-hanoi,,10,27,77,2,2,E,2,internal,basic,3450000000,available
DLR-0701,d-le-roi-soleil,,7,29,70,2,2,SE,2,park,basic,3120000000,available
DLR-1203,d-le-roi-soleil,,12,29,72,2,2,S,2,internal,basic,3260000000,available
DLR-1805,d-le-roi-soleil,,18,29,96,3,2,SE,3,park,full,4550000000,available
DLR-0902,d-le-roi-soleil,,9,29,71,2,2,N,1,internal,basic,3190000000,available
DLR-2401,d-le-roi-soleil,,24,29,49,1,1,S,1,internal,bare,2150000000,available
DLR-1501W,d-le-roi-soleil,,15,29,73,2,2,W,1,internal,basic,3080000000,available
